player_name,mfl_player_id,year,position,positional_rank
Drake London,15751,2023,WR,0
Kenneth Walker III,15711,2023,RB,0
Breece Hall,15708,2023,RB,0
Garrett Wilson,15753,2023,WR,0
Treylon Burks,15752,2023,WR,0
Kenny Pickett,15692,2023,QB,0
Jameson Williams,15756,2023,WR,0
Chris Olave,15754,2023,WR,0
James Cook,15715,2023,RB,0
George Pickens,15762,2023,WR,0
Christian Watson,15789,2023,WR,0
Skyy Moore,15766,2023,WR,0
Jahan Dotson,15755,2023,WR,0
Malik Willis,15694,2023,QB,0
Rachaad White,15721,2023,RB,0
Dameon Pierce,15717,2023,RB,0
Desmond Ridder,15697,2023,QB,0
Isaiah Spiller,15709,2023,RB,0
Tyler Allgeier,15712,2023,RB,0
David Bell,15758,2023,WR,0
Trey McBride,15794,2023,TE,0
Alec Pierce,15768,2023,WR,0
Tyquan Thornton,15787,2023,WR,0
Ty Chandler,15723,2023,RB,0
Matt Corral,15691,2023,QB,0
Hassan Haskins,15720,2023,RB,0
John Metchie,15759,2023,WR,0
Jelani Woods,15840,2023,TE,0
Zamir White,15714,2023,RB,0
Jalen Tolbert,15788,2023,WR,0
Brian Robinson,15716,2023,RB,0
Khalil Shakir,15761,2023,WR,0
Tyrion Davis-Price,15746,2023,RB,0
Sam Howell,15693,2023,QB,0
Wan'Dale Robinson,15757,2023,WR,0
Romeo Doubs,15779,2023,WR,0
Samori Toure,15841,2023,WR,0
Greg Dulcich,15797,2023,TE,0
Justyn Ross,15763,2023,WR,0
Tyler Badie,15718,2023,RB,0
Keaontay Ingram,15734,2023,RB,0
Cade Otton,15802,2023,TE,0
Pierre Strong Jr,15733,2023,RB,0
Velus Jones,15767,2023,WR,0
Daniel Bellinger,15873,2023,TE,0
Kyren Williams,15710,2023,RB,0
Jalen Nailor,15786,2023,WR,0
Jerome Ford,15713,2023,RB,0
